sample_id	h0	h1	h2
ERS3136879	2173.0	1411.4467235077843	1017.4043078206859
ERS3136880	2694.0	1582.0724358098184	1121.1181452127362
ERS3136881	2412.0	1531.8857171479235	1107.064770107568
ERS3136882	2405.0	1555.2488308897098	1144.0189072357703
ERS3136883	2450.0	1515.239362397323	1160.343742429134
ERS3136884	1940.0	1423.2681267952166	1126.6547200928537
ERS3136885	2393.0	1449.017993924542	1050.5194872820914
ERS3136886	2654.0	1397.0274791687	999.4295479860643
ERS3136887	2131.0	1497.9949823319132	1123.2261164162705
ERS3136888	2545.0	1485.8797336340929	1118.3399130956284
ERS3136889	2462.0	1404.3089420154488	1016.1712762621185
ERS3136890	2479.0	1371.1650701341946	1066.1205467271984
ERS3136891	2037.0	1214.9684140620454	920.6203276120308
ERS3136892	2105.0	1340.8757288888744	1053.0826938626046
ERS3136893	2580.0	1481.7576063463152	1100.531043750322
ERS3136894	2541.0	1616.6149291909285	1220.1958454069058
ERS3136895	2324.0	1472.8717958345135	1165.4193836867062
ERS3136896	2568.0	1600.7172431274164	1170.1433377066464
ERS3136897	2288.0	1545.8811520927638	1148.2442483389207
ERS3136898	2750.0	1604.7633135821864	1184.020625019007
ERS3136899	2480.0	1678.2244151153584	1243.2593122563235
ERS3136900	2018.0	1468.6744441124	1091.5556782217582
ERS3136901	2530.0	1550.1379872311984	1123.6638290443966
ERS3136902	2536.0	1708.094887772322	1262.482150952768
ERS3136903	2331.0	1528.0501751721392	1112.683909491386
ERS3136904	2328.0	1572.6303966555188	1184.2812069247484
ERS3136905	2372.0	1651.584440354963	1222.5508457760905
DRS182400	5360.0	2281.946945282415	1499.992704502536
DRS182401	4934.0	1691.13572433667	1220.5640631956028
DRS182402	5441.0	1835.4987670735097	1262.0103760550278
DRS182403	5460.0	1749.9839843225013	1177.0623056553234
DRS182404	5411.0	1856.1355711218916	1300.671982673724
DRS182405	5449.0	1789.3116577423582	1257.8880363237922
DRS182406	4472.0	1729.2819366546003	1225.5190909647122
DRS182407	5041.0	1770.6897438473325	1243.0323445329716
DRS182408	5321.0	1654.6700419012489	1149.7809986246616
DRS182409	5695.0	1986.0458381379253	1310.9239256375579
DRS182410	5469.0	1791.2258240383815	1189.9460129616155
DRS182411	5221.0	2235.437277158811	1490.1553689423752
DRS182412	5573.0	1773.468139214374	1242.2669312095295
DRS182413	5271.0	1529.593128539636	1053.3952047487853
DRS182414	4778.0	1538.7850127741597	1065.200094169335
DRS182415	5166.0	1905.9341240594972	1315.1976852235641
DRS182416	5857.0	1903.0496272264666	1292.66415107422
DRS182417	5130.0	1806.5554258550735	1255.581634575587
DRS182418	6118.0	1668.7760015432953	1141.4664287376743
DRS182419	6116.0	2204.6687513272427	1449.9756349715701
DRS182420	5093.0	1756.1663149688006	1220.677043600413
DRS182421	5705.0	1783.7124612534076	1245.306903418443
DRS182422	4974.0	1728.2740791631143	1212.7083883275648
DRS182423	5641.0	2596.51093077516	1740.2164417462757
DRS182424	6092.0	1792.8036678139463	1248.4058081366124
DRS182425	5022.0	1713.9894726744064	1210.2153686709646
DRS182426	5183.0	1831.9685851754193	1284.6911308002843
DRS182427	5477.0	1743.0044771459623	1193.8337320905518
DRS182428	5459.0	2234.600431149084	1506.2054775325162
DRS182429	5262.0	1813.3073401758727	1196.5928617855852
DRS182430	4501.0	1824.97971930813	1299.5353390290247
DRS182431	5439.0	1679.9459885892427	1179.4316594754396
DRS182432	4843.0	1679.8675181047638	1187.2607657186659
DRS182433	5087.0	1730.178534247093	1234.5993396539586
DRS182434	5234.0	1863.0044691207177	1312.2110129908815
DRS182435	5710.0	1849.5882630743677	1233.5590669148028
DRS182436	5653.0	1970.9388730501194	1321.6948642801
DRS182437	5660.0	1772.7786214783082	1226.856871875232
DRS182438	5369.0	1845.2966489915168	1243.666828621215
DRS182439	4702.0	1747.9172037787284	1238.4822738358391
DRS182440	5475.0	1727.7586136120378	1216.1038531591375
DRS182441	5310.0	1805.009420081367	1257.0282741101307
DRS182442	4925.0	1736.279987867014	1177.3275553243727
DRS182443	5664.0	2263.6417210752747	1494.3601110277016
DRS182444	5417.0	1863.5221691691893	1348.7401292938173
DRS182445	5346.0	1743.6725547519168	1184.1122832234475
DRS182446	5059.0	1785.8364748209635	1166.4529069144248
DRS182447	5340.0	1833.6413725951415	1285.4598426010164
DRS182448	5077.0	1755.3668246909208	1234.612105048992
DRS182449	5849.0	1767.2856120908425	1223.3627618619478
DRS182450	4579.0	1729.071382627204	1215.8628628920326
DRS182451	5122.0	1863.9001946217222	1293.3960750175563
DRS182452	5566.0	1794.4104246180596	1264.6254454408015
DRS182453	5251.0	1729.2249943192724	1210.5173792786816
DRS182454	5205.0	1815.1042802888328	1282.1029475243292
DRS182455	5672.0	1850.4599189522069	1276.4809008072161
DRS182456	5805.0	1800.1061218702494	1223.271394376961
DRS182457	5064.0	1752.5892835710358	1223.9241157367271
DRS182458	5511.0	1925.9670500178718	1330.6186996116605
DRS182459	5399.0	1806.591288293022	1247.3673294902478
DRS182460	5522.0	1703.7801702584727	1199.3035309233428
DRS182461	5241.0	1644.085806288358	1145.789911723479
DRS182462	4918.0	1840.9429186134648	1290.3410869882102
DRS182463	5754.0	1799.6490406938665	1257.3727006055187
DRS182464	5047.0	1739.008513725338	1209.837609409551
DRS182465	5191.0	1772.1038344357205	1232.5161829212657
DRS182466	4706.0	1766.3794683032352	1249.7542017008923
