ASV_ID	OTU_ID
ASV3239614	ASV3239596
ASV3244308	ASV3238548
ASV3244313	ASV3238548
ASV3244314	ASV3238548
ASV3244320	ASV3238577
ASV3244325	ASV3238580
ASV3244327	ASV3238580
ASV3244328	ASV3238580
ASV3244353	ASV3238675
ASV3244354	ASV3238675
ASV3244355	ASV3238682
ASV3244358	ASV3238687
ASV3244362	ASV3238696
ASV3244364	ASV3238696
ASV3244371	ASV3238736
ASV3244372	ASV3238743
ASV3244374	ASV3238743
ASV3244377	ASV3238577
ASV3244380	ASV3238577
ASV3244381	ASV3238577
ASV3244384	ASV3238580
ASV3244390	ASV3238577
ASV3244391	ASV3238781
ASV3244392	ASV3238781
ASV3244400	ASV3238579
ASV3244402	ASV3238816
ASV3244409	ASV3238816
ASV3244427	ASV3238888
ASV3244437	ASV3238908
ASV3244452	ASV3238946
ASV3244455	ASV3238956
ASV3244456	ASV3238956
ASV3244458	ASV3238934
ASV3244460	ASV3238976
ASV3244461	ASV3238926
ASV3244463	ASV3238926
ASV3244464	ASV3238926
ASV3244467	ASV3238926
ASV3244472	ASV3238926
ASV3244473	ASV3238926
ASV3244475	ASV3238976
ASV3244477	ASV3238926
ASV3244480	ASV3238926
ASV3244482	ASV3238926
ASV3244484	ASV3238926
ASV3244502	ASV3238934
ASV3244504	ASV3238926
ASV3244521	ASV3238579
ASV3244525	ASV3238816
ASV3244528	ASV3238816
ASV3244529	ASV3238816
ASV3244534	ASV3238781
ASV3244535	ASV3238781
ASV3244536	ASV3238781
ASV3244538	ASV3238781
ASV3244546	ASV3239222
ASV3244553	ASV3239222
ASV3244555	ASV3239222
ASV3244566	ASV3239271
ASV3244568	ASV3239271
ASV3244589	ASV3239321
ASV3244595	ASV3239329
ASV3244603	ASV3238934
ASV3244606	ASV3239356
ASV3244607	ASV3239356
ASV3244608	ASV3239356
ASV3244611	ASV3239366
ASV3244612	ASV3239368
ASV3244615	ASV3239376
ASV3244619	ASV3239385
ASV3244624	ASV3239393
ASV3244625	ASV3239393
ASV3244632	ASV3239376
ASV3244666	ASV3238926
ASV3244671	ASV3238926
ASV3244672	ASV3238926
ASV3244673	ASV3238926
ASV3244676	ASV3238926
ASV3244678	ASV3238926
ASV3244679	ASV3239519
ASV3244680	ASV3238926
ASV3244684	ASV3238579
ASV3244685	ASV3238579
ASV3244689	ASV3239543
ASV3244691	ASV3238579
ASV3244693	ASV3238579
ASV3244700	ASV3239536
ASV3244705	ASV3239561
ASV3244706	ASV3239561
ASV3244709	ASV3239561
ASV3244711	ASV3239556
ASV3244718	ASV3239596
ASV3244720	ASV3239596
ASV3244722	ASV3239596
ASV1104501	ASV3238548
ASV1104502	ASV3238548
ASV1104503	ASV3238548
ASV1104504	ASV3238548
ASV1104510	ASV3238577
ASV1104519	ASV3238580
ASV1104522	ASV3238580
